Threshold,Precision,Recall,F1,Predicted_Spam
-0.5,1.0,0.5238095238095238,0.6875,11
-0.25,1.0,0.23809523809523808,0.38461538461538464,5
0.0,1.0,0.14285714285714285,0.25,3
0.0282,1.0,0.09523809523809523,0.17391304347826086,2
0.1,1.0,0.047619047619047616,0.09090909090909091,1
0.2254,0.0,0.0,0.0,0
0.4338,0.0,0.0,0.0,0
0.7718,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0
