Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
450k-feature SVM,0.9966238647745305,0.7049180327868853,0.5733333333333334,0.6323529411764706,0.9906372277332247,0.6913426394371854
Second-layer HGB,0.9966126109904455,0.6965699208443272,0.5866666666666667,0.6369119420989143,0.9934502646160962,0.6822782463339078
