threshold,precision,recall,f1
0.01,0.10495626822157435,0.96,0.18922470433639949
0.015,0.16386890487609912,0.9111111111111111,0.2777777777777778
0.02,0.20648815653964986,0.8911111111111111,0.33528428093645485
0.025,0.22086570477247502,0.8844444444444445,0.35346358792184723
0.03,0.2253280091272105,0.8777777777777778,0.3586019064911484
0.035,0.2253280091272105,0.8777777777777778,0.3586019064911484
0.04,0.2253280091272105,0.8777777777777778,0.3586019064911484
0.045000000000000005,0.2893323100537222,0.8377777777777777,0.43011979463776384
0.05,0.2893323100537222,0.8377777777777777,0.43011979463776384
0.055,0.2893323100537222,0.8377777777777777,0.43011979463776384
0.060000000000000005,0.43159203980099503,0.7711111111111111,0.5534290271132376
0.065,0.43159203980099503,0.7711111111111111,0.5534290271132376
0.06999999999999999,0.43159203980099503,0.7711111111111111,0.5534290271132376
0.075,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.08,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.08499999999999999,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.09,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.095,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.09999999999999999,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.105,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.11,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.11499999999999999,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.12,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.125,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.13,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.135,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.14,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.14500000000000002,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.15000000000000002,0.4767932489451477,0.7533333333333333,0.5839793281653747
0.155,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.16,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.165,0.5437710437710438,0.7177777777777777,0.6187739463601533
